province,municipality,rcpc_incident_records,rcpc_incident_points,rcpc_commodities,rcpc_top_commodity,rcpc_top_pest_family,rcpc_latest_year,rcpc_recent_year_start,rcpc_recent_year_end,rcpc_recent_years,rcpc_latest_report_date,rcpc_total_planted_area_ha,rcpc_monitored_area_ha,rcpc_affected_area_ha,rcpc_treated_area_ha,rcpc_untreated_area_ha,rcpc_treatment_gap_ha,rcpc_affected_farmers,rcpc_avg_infestation_pct,rcpc_max_infestation_pct,rcpc_avg_severity,rcpc_high_severity_records,rcpc_recent_records,rcpc_recent_affected_area_ha,rcpc_recent_affected_farmers,rcpc_recent_treatment_gap_ha,rcpc_rice_affected_area_ha,rcpc_corn_affected_area_ha,rcpc_hvc_affected_area_ha,rcpc_cassava_affected_area_ha,rcpc_rice_records,rcpc_corn_records,rcpc_hvc_records,rcpc_cassava_records,rcpc_pest_pressure_score,rcpc_surveillance_priority_score,rcpc_response_gap_score,rcpc_risk_class
Isabela,San Mateo,79,79,rice; corn; hvc,rice,Fall Armyworm,2024,2023,2024,2023-2024,,2333.36,969.87,637.63,619.24,18.1,18.1,562,17.78,70,4,10,22,105.6,383,18.1,496.96,130.57,10.1,0,40,37,2,0,40.57,53.82,3.42,Moderate
Isabela,San Pablo,50,48,corn; rice,corn,Fall Armyworm,2025,2024,2025,2024-2025,,6601.92,3835.08,2222.63,2247.63,39,39,1344,19.1,50,6,2,2,29.5,36,39,171.26,2051.37,0,0,19,31,0,0,60.93,44.87,6.29,High
Isabela,Santiago,2,2,rice,rice,Plant Hopper,2023,2022,2023,2022-2023,,117,21.5,21.5,21.5,0,0,3,10,15,0,0,2,21.5,3,0,21.5,0,0,0,2,0,0,0,6.49,6.95,0,Watchlist
Isabela,Santiago City,106,104,rice; hvc; corn,rice,Plant Hopper,2026,2025,2026,2025-2026,,6539.36,3678.25,1212.62,1155.45,1472.27,1472.27,1348,10.89,70,3.97,12,34,234.78,678,322.5,915.01,34.23,263.38,0,95,5,6,0,56.44,73.88,100,Critical
Isabela,Sta Maria,7,7,rice; corn,rice,Rbb,2024,2023,2024,2023-2024,,218,188,153.1,30,123.1,123.1,99,23.86,60,4.14,2,7,153.1,99,123.1,30,123.1,0,0,5,2,0,0,28.86,43.67,38.57,Moderate
Isabela,Sta. Maria,64,64,corn; rice,corn,Fall Armyworm,2022,2021,2022,2021-2022,,5479.51,3893.31,2332.41,2332.41,0,0,1519,16.37,80,0,2,53,2119.31,1519,0,182,2150.41,0,0,24,40,0,0,59.59,81.81,0,Critical
Isabela,Sto. Tomas,111,111,corn; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,7594,4993.4,3924.5,3986,0,0,2778,19.15,80,4.09,5,7,134.2,159,0,467.4,3457.1,0,0,39,72,0,0,68,69.02,0,High
Isabela,Tumauini,268,267,corn; rice,corn,Fall Armyworm,2026,2025,2026,2025-2026,,31007.06,29531.15,6442.84,6920.48,380.6,380.6,4814,15.98,90,3.65,6,11,150.32,191,103.6,899.72,5543.12,0,0,52,216,0,0,75.21,73.88,30.87,Critical
Nueva Vizcaya,Alfonso Casta�eda,1,1,rice,rice,Plant Hopper,2023,2022,2023,2022-2023,,145,24.14,24.14,0,24.14,24.14,2,17,17,0,0,1,24.14,2,24.14,24.14,0,0,0,1,0,0,0,10.05,8.69,28.62,Watchlist
Nueva Vizcaya,Alfoso Castaneda,8,8,rice; hvc,rice,Plant Hopper,2025,2024,2025,2024-2025,,402.5,213,268,136.5,190,190,177,55,80,6.62,8,8,268,177,190,213,0,55,0,5,0,3,0,47.42,67.64,46.22,High
Nueva Vizcaya,Ambaguio,5,5,rice,rice,Leaf Folder/Miner,2024,2023,2024,2023-2024,,7,3.5,2.5,2.25,0.25,0.25,17,21.2,50,3,2,5,2.5,17,0.25,2.5,0,0,0,5,0,0,0,16.35,14.23,2.54,Watchlist
Nueva Vizcaya,Ariato,1,1,hvc,hvc,Twister,2021,2020,2021,2020-2021,,60,60,0.5,0.5,0,0,1,20,20,0,0,1,0.5,1,0,0,0,0.5,0,0,0,1,0,10.13,6.23,0,Watchlist
Nueva Vizcaya,Aritao,74,72,hvc; rice; corn,hvc,Cutworm/Armyworm,2025,2024,2025,2024-2025,,2885.09,1707.64,526.93,437.47,67.09,67.09,492,33.88,100,7.34,45,58,202.04,330,13,406.75,91,29.18,0,28,5,41,0,55.44,70.15,7.84,High
Nueva Vizcaya,Bagabag,145,145,rice; corn; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,38002.88,6654.78,4514.29,3421.69,1927.5,1927.5,2630,20.86,100,3.36,24,24,269.81,103,51,2910.43,1589.1,14.76,0,80,57,8,0,75.65,83.9,65.77,Critical
Nueva Vizcaya,Bambang,50,49,rice; corn; hvc,rice,Cutworm/Armyworm,2026,2025,2026,2025-2026,,2908.79,1771.59,872.39,832.56,55,55,672,20.12,70,5.36,13,10,29.5,41,3,230.6,588.59,53.2,0,24,13,13,0,42.8,37.33,4.63,Moderate
Nueva Vizcaya,Bangar,2,2,rice,rice,Bacterial Leaf Streak,2022,2021,2022,2021-2022,,220,20,20,20,0,0,17,15,20,0,0,2,20,17,0,20,0,0,0,2,0,0,0,8.9,11.13,0,Watchlist
Nueva Vizcaya,Bayombong,135,135,rice; corn; hvc,rice,Fall Armyworm,2025,2024,2025,2024-2025,,9748.83,2370.05,1630.94,1504.24,146.7,146.7,1464,19.08,100,2.4,14,19,531.22,970,84.7,1372.19,257.55,1.2,0,70,63,2,0,69.74,86.38,18.05,Critical
Nueva Vizcaya,Diadi,38,38,corn; rice; hvc,corn,Fall Armyworm,2024,2023,2024,2023-2024,,733.87,373.51,193.9,176.7,13,13,193,17.12,55,2.6,4,15,123.4,125,13,66.7,111.8,15.4,0,15,20,3,0,25.59,48.86,3.63,Moderate
Nueva Vizcaya,Dupax Del Norte,2,2,rice; corn,rice,Rbb,2022,2021,2022,2021-2022,,22.8,22.8,2,2,0,0,2,11,20,0,0,1,1.2,2,0,0.8,1.2,0,0,1,1,0,0,5.79,5.97,0,Watchlist
Nueva Vizcaya,Dupax del Sur,30,29,rice; hvc; corn,rice,Plant Hopper,2025,2024,2025,2024-2025,,3126.78,653.48,339.65,386.25,3,3,285,17.87,80,5.14,5,14,42.66,108,3,308.4,15,16.25,0,24,1,5,0,29.18,40.9,0.67,Moderate
Nueva Vizcaya,Kasibu,92,91,rice; corn,rice,Plant Hopper,2025,2024,2025,2024-2025,,5736.1,2279.04,729.62,668.48,70.89,70.89,958,17.08,60,3.12,7,32,312.28,326,32.52,720.42,9.2,0,0,86,6,0,0,47.64,76.44,9.23,Critical
Nueva Vizcaya,Kayapa,43,43,rice; corn; hvc,rice,Plant Hopper,2025,2024,2025,2024-2025,,1454.5,384.15,440.73,394.65,49.08,49.08,555,39.91,90,7,20,14,113.08,212,49.08,418.73,12,10,0,38,3,2,0,49.49,58.58,10.15,High
Nueva Vizcaya,Quezon,108,108,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,7209.46,4412.21,1874,1717,159,159,1117,17.39,80,2.9,4,20,157.04,127,39,865.89,1008.11,0,0,68,40,0,0,65.7,70.27,13.97,High
Nueva Vizcaya,Solano,194,194,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,15448.66,7679.02,2354.81,1661.84,642.91,642.91,3116,12.22,80,2.68,7,76,304.24,396,67.11,1656.91,697.89,0,0,149,45,0,0,75.06,88.78,45.68,Critical
Nueva Vizcaya,Sta. Fe,1,1,hvc,hvc,Cutworm/Armyworm,2021,2020,2021,2020-2021,,10,10,3,3,0,0,9,10,10,0,0,1,3,9,0,0,0,3,0,0,0,1,0,5.28,5.3,0,Watchlist
Nueva Vizcaya,Villaverde,70,70,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,5402.21,3853.32,843.69,757.49,405.2,405.2,367,15.88,90,3,7,22,179.69,103,5.2,304.91,538.78,0,0,39,31,0,0,44.1,60.69,32.79,High
Quirino,Aglipay,291,291,corn; rice; cassava; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,16224.63,10211.93,3688.41,2298.41,1169.46,1169.46,2671,14.87,90,3.62,25,69,303.84,458,20.21,778.33,1445.46,177.62,1287,112,132,19,28,78.59,90.36,59.95,Critical
Quirino,Cabarroguis,337,337,rice; corn; cassava; hvc,rice,Fall Armyworm,2026,2025,2026,2025-2026,,19306.18,8136.58,2842.8,2275.03,553.69,553.69,2630,11.35,70,3.36,17,63,214.34,308,16.64,1411.45,1282.86,46.19,102.3,215,98,11,13,74.96,80.17,34.22,Critical
Quirino,Diffun,437,436,rice; corn; hvc; cassava,rice,Fall Armyworm,2026,2025,2026,2025-2026,,39088.7,13931.55,5045.59,4540.42,479.44,479.44,3437,11.87,60,3.24,22,70,326.46,531,12.61,2760.44,2221.12,28.03,36,276,141,15,5,76.44,89.4,27.61,Critical
Quirino,Maddela,446,444,corn; rice; hvc; cassava,corn,Fall Armyworm,2026,2025,2026,2025-2026,,68897.65,55589.11,5105.31,4319.97,674.29,674.29,4043,16.51,90,2.94,20,82,701.67,834,157.89,1523.86,3545.81,1.64,34,197,244,3,2,78.25,90.21,52.81,Critical
Quirino,Nagtipunan,145,145,corn; rice; hvc,corn,Fall Armyworm,2026,2025,2026,2025-2026,,33813.58,27473.42,3119.67,2892.98,185.19,185.19,2020,21.53,70,2.78,13,25,294.62,272,27.99,183.68,2935.63,0.36,0,27,117,1,0,74.99,88.21,13.54,Critical
Quirino,Naguilian,21,21,rice,rice,Blast/Blight/Spot,2022,2021,2022,2021-2022,,1333.87,72.15,72.15,72.15,0,0,73,13.95,30,0,0,21,72.15,73,0,72.15,0,0,0,21,0,0,0,13.41,31.37,0,Watchlist
Quirino,Saguday,96,94,rice; corn,rice,Fall Armyworm,2026,2025,2026,2025-2026,,17804.8,4518.9,2100.06,2053.06,47,47,735,14.9,50,2.91,7,19,105.56,132,0,1699.76,400.3,0,0,73,23,0,0,61.23,63.11,2.91,High
Quirino,Villamor,1,1,rice,rice,Plant Hopper,2021,2020,2021,2020-2021,,170.5,22,22,22,0,0,40,6,6,0,0,1,22,40,0,22,0,0,0,1,0,0,0,4.42,10.69,0,Watchlist
