province,municipality,plans_projects_2025_count,plans_projects_2025_budget,plans_projects_2026_count,plans_projects_2026_budget,plans_projects_2027_count,plans_projects_2027_budget,plans_projects_total_count,plans_projects_total_budget,plans_projects_2027_physical_target,plans_rice_2027_budget,plans_corn_2027_budget,plans_hvc_2027_budget,plans_fmr_2027_count,plans_fmr_2027_budget,plans_fmr_2027_length_km,plans_irrigation_2027_count,plans_irrigation_2027_budget,plans_2027_programs,plans_source_files
Cagayan,Aparri,1,15000.00,0,0.00,17,74995.24,18,89995.24,379519.00,0.00,12281.11,1214.13,1,61500.00,4.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Baggao,1,15000.00,5,75000.00,17,64621.11,23,154621.11,21030.00,0.00,15271.11,150.00,3,46500.00,3.10,1,1875.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Ballesteros,2,30000.00,0,0.00,7,14109.73,9,44109.73,624.08,10704.08,0.00,705.65,0,0.00,0.00,0,0.00,High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Buguey,0,0.00,2,30000.00,14,30131.11,16,60131.11,376140.00,0.00,14981.11,150.00,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Calayan,0,0.00,0,0.00,15,34279.08,15,34279.08,12029.46,10704.08,2425.00,150.00,1,21000.00,1.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,cagayan_1.xlsx | cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Camalaniugan,1,144260.00,4,189260.00,15,102671.11,20,436191.11,15890.00,0.00,11021.11,150.00,5,90000.00,6.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Claveria,0,0.00,0,0.00,7,57887.41,7,57887.41,18.62,10704.08,0.00,150.00,1,43500.00,2.90,0,0.00,Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Enrile,0,0.00,1,13200.00,19,87694.67,20,100894.67,42743.68,11754.55,22091.14,2348.98,3,50000.00,3.50,2,2250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Gattaran,1,15000.00,13,190000.00,19,264020.14,33,469020.14,20233.92,0.00,262896.11,150.00,0,0.00,0.00,1,1875.00,4Ks | Corn Program | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Gonzaga,0,0.00,2,30000.00,25,72955.14,27,102955.14,345119.92,0.00,25631.11,150.00,2,41000.00,2.70,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Iguig,0,0.00,0,0.00,12,32795.69,12,32795.69,47185.13,11754.55,20891.14,150.00,0,0.00,0.00,1,1250.00,Corn Program | High Value Crops | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Lal-lo,2,20000.00,1,15000.00,10,14271.11,13,49271.11,15889.00,0.00,14121.11,150.00,0,0.00,0.00,0,0.00,Corn Program | High Value Crops | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Lasam,1,10000.00,1,50000.00,17,81614.08,19,141614.08,335169.62,10704.08,25760.00,150.00,3,45000.00,3.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Pamplona,0,0.00,7,130000.00,8,28867.41,15,158867.41,18.62,10704.08,0.00,150.00,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | NUPAP | Rice Program,cagayan_1.xlsx | cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Pe?ablanca,0,0.00,0,0.00,21,82030.69,21,82030.69,377202.13,11754.55,37626.14,150.00,2,30000.00,2.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Piat,0,0.00,0,0.00,11,42764.55,11,42764.55,330803.90,11754.55,15860.00,150.00,1,15000.00,1.00,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Rizal,3,36000.00,6,81000.00,12,30354.55,21,147354.55,5913.24,11754.55,1450.00,150.00,1,17000.00,1.10,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Sanchez Mira,1,10000.00,1,15000.00,13,41292.39,15,66292.39,9948.30,11754.55,0.00,150.00,1,27750.00,1.85,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Ana,0,0.00,2,30000.00,20,143649.53,22,173649.53,4348.92,0.00,0.00,150.00,4,140100.00,9.34,0,0.00,4Ks | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Praxedes,0,0.00,0,0.00,8,10854.08,8,10854.08,24.96,10704.08,0.00,150.00,0,0.00,0.00,0,0.00,High Value Crops | Rice Program | SAAD,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santa Teresita,1,10888.00,1,15000.00,11,39971.11,13,65859.11,15889.00,0.00,11021.11,150.00,1,26100.00,1.74,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_1.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Santo Ni?o (Faire),0,0.00,0,0.00,10,74104.08,10,74104.08,28.62,10704.08,2250.00,150.00,2,58500.00,3.90,2,2250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_2.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Solana,1,15000.00,3,45000.00,19,149095.69,23,209095.69,40312.13,11754.55,23266.14,150.00,5,111225.00,7.41,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Tuao,1,15000.00,1,15000.00,11,49045.69,13,79045.69,35176.13,11754.55,19641.14,150.00,1,15000.00,1.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Cagayan,Tuguegarao City (Capital),0,0.00,0,0.00,14,59880.69,14,59880.69,35182.13,11754.55,25841.14,0.00,0,0.00,0.00,1,1000.00,AFLO | Corn Program | High Value Crops | LIVESTOCK | Rice Program,cagayan_3.xlsx | fy_2027_hvcdp.xlsx
Isabela,Alicia,8,103900.00,4,60000.00,22,297423.97,34,461323.97,51233.39,23186.67,0.00,12405.17,4,260332.13,15.78,0,0.00,Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,Angadanan,2,30000.00,2,30000.00,17,77795.61,21,137795.61,320609.93,23186.67,7115.67,11493.27,1,36000.00,2.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,Aurora,0,0.00,2,42500.00,28,81517.41,30,124017.41,346145.78,16235.37,19359.62,28222.42,1,15000.00,1.00,3,1400.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Benito Soliven,7,215400.00,5,65000.00,29,49949.06,41,330349.06,223077.56,6826.98,19608.00,1212.58,1,15000.00,1.00,2,2250.00,Corn Program | Farm-to-Market Roads | High Value Crops | MCRA | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,Burgos,1,10000.00,0,0.00,29,248353.41,30,258353.41,23236.78,16235.37,3995.62,3722.42,9,221700.00,14.78,3,1400.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Cabagan,8,135000.00,46,745150.00,22,73495.54,76,953645.54,55165.87,8819.25,25196.80,6609.49,1,30000.00,2.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | MCRA | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Cabatuan,1,15000.00,0,0.00,18,88675.61,19,103675.61,58610.93,23186.67,6495.67,11493.27,3,45000.00,3.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,City of Cauayan,11,120000.00,18,351400.00,27,369226.95,56,840626.95,438618.18,15312.80,184151.50,1412.65,7,165500.00,10.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | MCRA | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx | isabela_6.xlsx
Isabela,City of Santiago,3,56000.00,7,128000.00,11,213445.75,21,397445.75,15588.03,9657.08,7017.40,0.00,4,194071.27,10.18,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_4.xlsx
Isabela,Cordon,2,30000.00,7,107200.00,22,254773.38,31,391973.38,21671.39,9657.08,7217.40,3498.90,7,234400.00,12.96,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_4.xlsx
Isabela,Delfin Albano (Magsaysay),0,0.00,0,0.00,10,11648.74,10,11648.74,9831.67,8819.25,0.00,2829.49,0,0.00,0.00,0,0.00,High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Dinapigue,0,0.00,0,0.00,15,69979.05,15,69979.05,18640.98,9657.08,7017.40,150.00,1,52665.00,1181.00,0,0.00,4Ks | Corn Program | High Value Crops | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_4.xlsx
Isabela,Divilacan,0,0.00,0,0.00,6,8969.25,6,8969.25,4803.90,8819.25,0.00,150.00,0,0.00,0.00,0,0.00,High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Echague,3,25000.00,9,164250.00,16,341626.97,28,530876.97,435951.82,15312.80,38738.17,150.00,1,284726.00,16.13,2,3500.00,Corn Program | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_6.xlsx
Isabela,Gamu,1,76887.91,8,170000.00,10,127059.98,19,373947.89,21860.88,6826.98,12948.00,150.00,3,107135.00,7.11,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,Ilagan City (Capital),6,105000.00,75,1309847.60,26,260262.05,107,1675109.65,480767.10,8819.25,186056.80,0.00,1,57000.00,3.80,1,2200.00,Corn Program | Farm-to-Market Roads | High Value Crops | MCRA | NUPAP | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Jones,2,25000.00,18,266800.00,20,59804.48,40,351604.48,610199.03,9657.08,24197.40,150.00,1,23100.00,1.54,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx | isabela_4.xlsx
Isabela,Luna,0,0.00,12,272500.00,21,40984.41,33,313484.41,20241.78,16235.37,3849.62,2122.42,1,18000.00,1.20,2,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Maconacon,3,45000.00,4,60000.00,6,8969.25,13,113969.25,4803.90,8819.25,0.00,150.00,0,0.00,0.00,0,0.00,High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Mallig,2,30000.00,4,85000.00,21,164595.41,27,279595.41,20246.28,16235.37,5099.62,2122.42,3,132088.00,6.12,3,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx | isabela_5.xlsx
Isabela,Naguilian,13,321350.00,5,90000.00,14,151624.98,32,562974.98,21861.88,6826.98,12948.00,150.00,6,129000.00,8.60,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,Palanan,1,97500.00,1,35000.00,7,39976.98,9,172476.98,3932.88,6826.98,0.00,150.00,1,33000.00,1.60,0,0.00,Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,Quezon,0,0.00,2,33000.00,13,39734.99,15,72734.99,15316.73,16235.37,3849.62,150.00,1,18000.00,1.20,2,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Quirino,0,0.00,1,40000.00,13,117734.99,14,157734.99,15315.73,16235.37,3849.62,150.00,2,97500.00,6.50,2,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,Ramon,7,95000.00,4,80000.00,18,471367.32,29,646367.32,24411.77,23186.67,0.00,150.00,8,441130.65,32.65,0,0.00,Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,Reina Mercedes,0,0.00,4,40000.00,19,68629.98,23,108629.98,347132.88,6826.98,34208.00,150.00,2,27000.00,1.80,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | MCRA | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,Roxas,1,10000.00,0,0.00,17,62484.99,18,72484.99,15378.73,16235.37,6099.62,150.00,1,35000.00,2.50,5,4450.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | MCRA | NUPAP | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,San Agustin,0,0.00,3,35000.00,15,77874.48,18,112874.48,15604.03,9657.08,14367.40,150.00,3,51000.00,3.40,1,1250.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_4.xlsx | isabela_5.xlsx
Isabela,San Guillermo,0,0.00,5,84750.00,13,162764.30,18,247514.30,357828.32,15312.80,32101.50,150.00,2,110000.00,7.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_6.xlsx
Isabela,San Isidro,2,30000.00,3,50000.00,16,139170.30,21,219170.30,32940.32,15312.80,17491.50,150.00,5,102000.00,5.80,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | PRDP | Rice Program | SAAD,fy_2027_hvcdp.xlsx | isabela_6.xlsx
Isabela,San Manuel,0,0.00,5,75000.00,13,37934.99,18,112934.99,15316.73,16235.37,3849.62,150.00,1,15000.00,1.00,2,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_5.xlsx
Isabela,San Mariano,7,90000.00,2,60000.00,35,62975.99,44,212975.99,224792.78,6826.98,14758.00,150.00,1,30000.00,2.00,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | MCRA | Rice Program,fy_2027_hvcdp.xlsx | isabela_2.xlsx
Isabela,San Mateo,1,15000.00,3,45000.00,16,137832.34,20,197832.34,33403.77,23186.67,6495.67,150.00,6,105500.00,7.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_3.xlsx
Isabela,San Pablo,3,35000.00,10,197350.41,21,146931.87,34,379282.28,51119.05,8819.25,25196.80,150.00,3,108000.00,7.20,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Santa Maria,4,75000.00,4,60000.00,13,78700.05,21,213700.05,61977.10,8819.25,25780.80,150.00,2,43950.00,2.93,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Santo Tomas,0,0.00,14,222750.00,6,8969.25,20,231719.25,4803.90,8819.25,0.00,150.00,0,0.00,0.00,0,0.00,High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Isabela,Tumauini,5,103000.00,44,670000.00,20,206826.05,69,979826.05,479054.10,8819.25,122856.80,150.00,2,69000.00,4.70,2,3500.00,Corn Program | Farm-to-Market Roads | High Value Crops | LIVESTOCK | Rice Program,fy_2027_hvcdp.xlsx | isabela_1.xlsx
Nueva Vizcaya,Alfonso Castaneda,0,0.00,1,15000.00,32,68365.87,33,83365.87,16208.04,0.00,0.00,24965.87,2,43400.00,2.80,0,0.00,Farm-to-Market Roads | High Value Crops,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Ambaguio,0,0.00,0,0.00,29,78544.34,29,78544.34,4581.28,2175.14,0.00,15594.20,2,59675.00,3.85,1,1100.00,Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Aritao,0,0.00,2,30000.00,24,62442.76,26,92442.76,3954.78,2175.14,0.00,9117.62,2,51150.00,3.30,0,0.00,Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Bagabag,5,115000.00,0,0.00,29,63135.16,34,178135.16,125901.84,2175.14,8432.40,4617.62,2,46810.00,3.02,1,1100.00,Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Bambang,1,10000.00,2,45000.00,22,55336.66,25,110336.66,14921.68,2175.14,7966.40,3655.12,2,41540.00,2.68,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Bayombong (Capital),0,0.00,3,65000.00,23,43006.66,26,108006.66,123955.67,2175.14,8166.40,1665.12,2,31000.00,2.00,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Diadi,0,0.00,0,0.00,25,61692.49,25,61692.49,23791.34,2175.14,9712.23,1665.12,2,44640.00,2.88,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | OAP | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Dupax del Norte,0,0.00,0,0.00,29,43961.15,29,43961.15,17956.63,2175.14,7966.40,1665.12,2,31000.00,2.00,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Dupax del Sur,0,0.00,1,15000.00,20,68670.38,21,83670.38,3622.62,2175.14,0.00,295.24,2,65100.00,4.20,1,1100.00,Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Kasibu,1,10000.00,2,248756.00,24,46081.78,27,304837.78,14656.02,2175.14,7966.40,295.24,2,33945.00,2.19,1,1100.00,Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Kayapa,1,15000.00,2,349482.00,31,131368.77,34,495850.77,26820.64,2175.14,8378.90,295.24,2,118265.00,7.63,1,1100.00,4Ks | Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Quezon,0,0.00,0,0.00,30,58548.61,30,58548.61,134573.01,2175.14,15378.23,295.24,2,37200.00,2.40,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | OAP | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Santa Fe,0,0.00,3,45000.00,19,61370.38,22,106370.38,3621.62,2175.14,0.00,295.24,2,58900.00,3.80,0,0.00,Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Solano,0,0.00,0,0.00,23,44264.28,23,44264.28,23653.02,2175.14,8778.90,295.24,2,33015.00,2.13,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Nueva Vizcaya,Villaverde,0,0.00,1,15000.00,26,41288.11,27,56288.11,14681.35,2175.14,9299.73,295.24,1,23250.00,1.50,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,fy_2027_hvcdp.xlsx | nueva_vizcaya.xlsx
Quirino,Aglipay,0,0.00,5,302775.00,21,104121.48,26,406896.48,258297.51,4433.33,20992.83,1195.32,4,76000.00,5.00,0,0.00,Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | quirino.xlsx
Quirino,Cabarroguis (Capital),5,90000.00,4,47702.00,13,57576.16,22,195278.16,257520.51,4433.33,20992.83,150.00,2,32000.00,2.10,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | quirino.xlsx
Quirino,Diffun,4,90000.00,5,300728.47,20,181201.16,29,571929.63,39266.67,4433.33,21192.83,150.00,4,138500.00,9.20,0,0.00,Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | quirino.xlsx
Quirino,Maddela,1,15000.00,4,60335.00,18,130442.16,23,205777.16,257522.51,4433.33,25392.83,150.00,5,100466.00,6.65,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program,fy_2027_hvcdp.xlsx | quirino.xlsx
Quirino,Nagtipunan,0,0.00,2,66115.00,25,119040.06,27,185155.06,34324.67,4433.33,23680.33,150.00,5,83250.00,5.45,0,0.00,4Ks | Corn Program | Farm-to-Market Roads | HALAL | High Value Crops | MCRA | Rice Program,fy_2027_hvcdp.xlsx | quirino.xlsx
Quirino,Saguday,1,15000.00,2,30825.00,22,197143.66,25,242968.66,30208.17,4433.33,20180.33,150.00,8,169425.00,11.20,0,0.00,Corn Program | Farm-to-Market Roads | High Value Crops | Rice Program | SAAD,fy_2027_hvcdp.xlsx | quirino.xlsx
